Elapsed Time (ms),Coarse Encoder Counts (6B),Coarse Degree
13003,E3F480,-127.2819944598338
13004,E3F5D2,-127.25858725761773
13005,E3F7CD,-127.22347645429363
13006,E3F91F,-127.20006925207757
13007,E3FB1A,-127.16495844875347
13008,E3FD15,-127.12984764542936
13009,E3FE67,-127.1064404432133
13010,E40062,-127.0713296398892
13011,E4025D,-127.0362188365651
13012,E403AF,-127.01281163434903
13013,E405AA,-126.97770083102493
13014,E406FC,-126.95429362880887
13015,E408F7,-126.91918282548477
13016,E40AF2,-126.88407202216067
13017,E40C44,-126.8606648199446
13018,E40E3F,-126.8255540166205
13019,E4103A,-126.7904432132964
13020,E4118C,-126.76703601108034
13021,E41387,-126.73192520775623
13022,E41582,-126.69681440443213
13023,E4177D,-126.66170360110804
13024,E418CF,-126.63829639889197
13025,E41ACA,-126.60318559556787
13026,E41CC5,-126.56807479224378
13027,E41E17,-126.5446675900277
13028,E42012,-126.5095567867036
13029,E4220D,-126.47444598337951
13030,E4235F,-126.45103878116343
13031,E4255A,-126.41592797783935
13032,E42755,-126.38081717451524
13033,E428A7,-126.35740997229917
13034,E42AA2,-126.32229916897508
13035,E42C9D,-126.28718836565098
13036,E42DEF,-126.2637811634349
13037,E42FEA,-126.22867036011081
13038,E431E5,-126.19355955678671
13039,E43337,-126.17015235457065
13040,E43532,-126.13504155124654
13041,E4372D,-126.09993074792243
13042,E43928,-126.06481994459833
13043,E43A7A,-126.04141274238228
13044,E43C75,-126.00630193905816
13045,E43E70,-125.97119113573409
13046,E43FC2,-125.94778393351801
13047,E441BD,-125.9126731301939
13048,E443B8,-125.87756232686982
13049,E445B3,-125.8424515235457
13050,E44705,-125.81904432132963
13051,E44900,-125.78393351800554
13052,E44A52,-125.76052631578946
13053,E44C4D,-125.72541551246539
13054,E44E48,-125.69030470914127
13055,E44F9A,-125.6668975069252
13056,E45195,-125.63178670360112
13057,E45390,-125.596675900277
13058,E4558B,-125.5615650969529
13059,E456DD,-125.53815789473686
13060,E458D8,-125.50304709141274
13061,E45AD3,-125.46793628808864
13062,E45CCE,-125.43282548476455
13063,E45E20,-125.40941828254847
13064,E4601B,-125.37430747922437
13065,E46216,-125.33919667590028
13066,E46368,-125.3157894736842
13067,E46563,-125.2806786703601
13068,E4675E,-125.24556786703602
13069,E46959,-125.21045706371191
13070,E46AAB,-125.18704986149585
13071,E46CA6,-125.15193905817175
13072,E46EA1,-125.11682825484765
13073,E46FF3,-125.09342105263158
13074,E471EE,-125.05831024930748
13075,E473E9,-125.02319944598338
13076,E4753B,-124.99979224376732
13077,E47736,-124.96468144044321
13078,E47931,-124.92957063711911
13079,E47B2C,-124.89445983379503
13080,E47C7E,-124.87105263157895
13081,E47E79,-124.83594182825485
13082,E48074,-124.80083102493076
13083,E481C6,-124.77742382271468
13084,E483C1,-124.7423130193906
13085,E485BC,-124.70720221606649
13086,E487B7,-124.67209141274238
13087,E48909,-124.64868421052633
13088,E48B04,-124.61357340720222
13089,E48C56,-124.59016620498615
13090,E48E51,-124.55505540166206
13091,E4904C,-124.51994459833796
13092,E4919E,-124.4965373961219
13093,E49399,-124.46142659279779
13094,E49594,-124.42631578947368
13095,E496E6,-124.40290858725763
13096,E498E1,-124.36779778393353
13097,E49ADC,-124.33268698060941
13098,E49C2E,-124.30927977839336
13099,E49E29,-124.27416897506926
13100,E4A024,-124.23905817174514
13101,E4A176,-124.2156509695291
13102,E4A371,-124.18054016620499
13103,E4A56C,-124.14542936288088
13104,E4A6BE,-124.12202216066483
13105,E4A8B9,-124.08691135734071
13106,E4AAB4,-124.05180055401661
13107,E4AC06,-124.02839335180056
13108,E4AE01,-123.99328254847644
13109,E4AF53,-123.9698753462604
13110,E4B14E,-123.93476454293629
13111,E4B349,-123.89965373961218
13112,E4B544,-123.86454293628809
13113,E4B696,-123.84113573407203
13114,E4B891,-123.80602493074791
13115,E4B9E3,-123.78261772853186
13116,E4BBDE,-123.74750692520774
13117,E4BDD9,-123.71239612188367
13118,E4BF2B,-123.6889889196676
13119,E4C126,-123.65387811634348
13120,E4C321,-123.6187673130194
13121,E4C473,-123.59536011080333
13122,E4C66E,-123.56024930747921
13123,E4C7C0,-123.53684210526316
13124,E4C9BB,-123.50173130193906
13125,E4CBB6,-123.46662049861497
13126,E4CDB1,-123.43150969529086
13127,E4CF03,-123.40810249307478
13128,E4D0FE,-123.3729916897507
13129,E4D250,-123.34958448753463
13130,E4D44B,-123.31447368421051
13131,E4D646,-123.27936288088644
13132,E4D798,-123.25595567867036
13133,E4D993,-123.22084487534627
13134,E4DB8E,-123.18573407202216
13135,E4DCE0,-123.1623268698061
13136,E4DEDB,-123.127216066482
13137,E4E02D,-123.10380886426593
13138,E4E228,-123.06869806094181
13139,E4E37A,-123.04529085872576
13140,E4E575,-123.01018005540166
13141,E4E770,-122.97506925207757
13142,E4E8C2,-122.9516620498615
13143,E4EABD,-122.9165512465374
13144,E4EC0F,-122.89314404432133
13145,E4EE0A,-122.85803324099723
13146,E4F005,-122.82292243767313
13147,E4F157,-122.79951523545706
13148,E4F352,-122.76440443213296
13149,E4F4A4,-122.7409972299169
13150,E4F69F,-122.7058864265928
13151,E4F89A,-122.6707756232687
13152,E4F9EC,-122.64736842105263
13153,E4FBE7,-122.61225761772853
13154,E4FD39,-122.58885041551247
13155,E4FF34,-122.55373961218837
13156,E50086,-122.5303324099723
13157,E50281,-122.4952216066482
13158,E503D3,-122.47181440443212
13159,E505CE,-122.43670360110804
13160,E50720,-122.41329639889196
13161,E5091B,-122.37818559556786
13162,E50B16,-122.34307479224377
13163,E50C68,-122.31966759002769
13164,E50E63,-122.2845567867036
13165,E50FB5,-122.26114958448754
13166,E511B0,-122.22603878116342
13167,E51302,-122.20263157894738
13168,E514FD,-122.16752077562326
13169,E5164F,-122.14411357340721
13170,E5184A,-122.10900277008311
13171,E5199C,-122.08559556786703
13172,E51AEE,-122.06218836565097
13173,E51CE9,-122.02707756232687
13174,E51E3B,-122.0036703601108
13175,E51F8D,-121.98026315789473
13176,E52188,-121.94515235457064
13177,E522DA,-121.92174515235457
13178,E5242C,-121.89833795013851
13179,E5257E,-121.87493074792243
13180,E52779,-121.83981994459833
13181,E528CB,-121.81641274238227
13182,E52A1D,-121.79300554016622
13183,E52B6F,-121.76959833795014
13184,E52CC1,-121.74619113573408
13185,E52EBC,-121.71108033240998
13186,E5300E,-121.6876731301939
13187,E53160,-121.66426592797784
13188,E532B2,-121.64085872576176
13189,E53404,-121.61745152354571
13190,E53556,-121.59404432132963
13191,E536A8,-121.57063711911357
13192,E538A3,-121.53552631578947
13193,E539F5,-121.5121191135734
13194,E53B47,-121.48871191135733
13195,E53C99,-121.46530470914128
13196,E53DEB,-121.4418975069252
13197,E53F3D,-121.41849030470914
13198,E53FE6,-121.40678670360111
13199,E54138,-121.38337950138504
13200,E5428A,-121.35997229916899
13201,E543DC,-121.33656509695291
13202,E5452E,-121.31315789473685
13203,E54680,-121.28975069252077
13204,E54729,-121.27804709141274
13205,E5487B,-121.25463988919668
13205,E549CD,-121.2312326869806
13207,E54B1F,-121.20782548476456
13207,E54C71,-121.18441828254848
13208,E54D1A,-121.17271468144044
13210,E54E6C,-121.14930747922436
13211,E54FBE,-121.12590027700831
13212,E55110,-121.10249307479224
13213,E55262,-121.07908587257617
13213,E5530B,-121.06738227146815
13215,E5545D,-121.04397506925207
13216,E555AF,-121.02056786703602
13216,E55658,-121.00886426592798
13218,E557AA,-120.9854570637119
13219,E558FC,-120.96204986149586
13220,E559A5,-120.9503462603878
13221,E55AF7,-120.92693905817174
13222,E55C49,-120.90353185595568
13222,E55CF2,-120.89182825484764
13224,E55E44,-120.86842105263159
13225,E55EED,-120.85671745152354
13225,E5603F,-120.83331024930747
13227,E56191,-120.80990304709142
13227,E5623A,-120.79819944598337
13229,E5638C,-120.77479224376732
13230,E56435,-120.76308864265928
13230,E56587,-120.7396814404432
13232,E56630,-120.72797783933518
13233,E56782,-120.7045706371191
13234,E5682B,-120.69286703601108
13234,E5697D,-120.66945983379502
13236,E56A26,-120.65775623268698
13237,E56B78,-120.63434903047091
13237,E56C21,-120.62264542936289
13238,E56D73,-120.59923822714681
13239,E56E1C,-120.58753462603877
13240,E56F6E,-120.56412742382273
13241,E57017,-120.55242382271467
13243,E57169,-120.52901662049862
13243,E57212,-120.51731301939058
13244,E57364,-120.49390581717451
13246,E5740D,-120.48220221606648
13246,E574B6,-120.47049861495846
13247,E57608,-120.44709141274238
13248,E576B1,-120.43538781163436
13250,E57803,-120.41198060941828
13250,E578AC,-120.40027700831024
13251,E579FE,-120.37686980609419
13253,E57AA7,-120.36516620498614
13253,E57B50,-120.35346260387811
13254,E57CA2,-120.33005540166205
13256,E57D4B,-120.31835180055403
13257,E57DF4,-120.30664819944597
13257,E57F46,-120.28324099722992
13258,E57FEF,-120.27153739612189
13259,E58098,-120.25983379501385
13260,E581EA,-120.23642659279778
13261,E58293,-120.22472299168976
13263,E583E5,-120.20131578947368
13263,E5848E,-120.18961218836566
13264,E58537,-120.17790858725762
13266,E585E0,-120.16620498614958
13267,E58732,-120.14279778393352
13267,E587DB,-120.13109418282549
13268,E58884,-120.11939058171744
13270,E589D6,-120.09598337950139
13270,E58A7F,-120.08427977839335
13271,E58B28,-120.07257617728533
13273,E58C7A,-120.04916897506925
13274,E58D23,-120.03746537396123
13275,E58DCC,-120.0257617728532
13275,E58E75,-120.01405817174515
13277,E58FC7,-119.99065096952909
13278,E59070,-119.97894736842106
13278,E59119,-119.96724376731301
13280,E591C2,-119.95554016620498
13280,E59314,-119.93213296398892
13282,E593BD,-119.92042936288088
13282,E59466,-119.90872576177284
13284,E5950F,-119.89702216066482
13285,E59661,-119.87361495844874
13286,E5970A,-119.86191135734072
13287,E597B3,-119.85020775623269
13288,E5985C,-119.83850415512465
13288,E599AE,-119.81509695290858
13289,E59A57,-119.80339335180055
13290,E59B00,-119.79168975069253
13292,E59BA9,-119.7799861495845
13292,E59C52,-119.76828254847645
13293,E59DA4,-119.74487534626039
13294,E59E4D,-119.73317174515236
13295,E59EF6,-119.72146814404431
13297,E59F9F,-119.70976454293628
13297,E5A048,-119.69806094182826
13299,E5A19A,-119.67465373961218
13300,E5A243,-119.66295013850416
13300,E5A2EC,-119.65124653739612
13301,E5A395,-119.6395429362881
13303,E5A4E7,-119.61613573407202
13303,E5A590,-119.60443213296399
13305,E5A639,-119.59272853185595
13305,E5A6E2,-119.58102493074793
13306,E5A78B,-119.56932132963988
13307,E5A834,-119.55761772853185
13308,E5A8DD,-119.54591412742383
13309,E5A986,-119.5342105263158
13310,E5AAD8,-119.51080332409973
13311,E5AB81,-119.49909972299169
13312,E5AC2A,-119.48739612188366
13313,E5ACD3,-119.47569252077561
13314,E5AD7C,-119.46398891966759
13315,E5AE25,-119.45228531855956
13316,E5AECE,-119.44058171745154
13317,E5B020,-119.41717451523546
13318,E5B0C9,-119.40547091412742
13319,E5B172,-119.3937673130194
13320,E5B21B,-119.38206371191134
13321,E5B2C4,-119.37036011080332
13322,E5B36D,-119.3586565096953
13323,E5B416,-119.34695290858727
13324,E5B568,-119.32354570637119
13325,E5B611,-119.31184210526315
13326,E5B6BA,-119.30013850415513
13327,E5B763,-119.2884349030471
13328,E5B80C,-119.27673130193905
13329,E5B8B5,-119.26502770083103
13330,E5B95E,-119.25332409972299
13331,E5BAB0,-119.22991689750691
13332,E5BB59,-119.21821329639889
13333,E5BC02,-119.20650969529086
13334,E5BCAB,-119.19480609418284
13335,E5BD54,-119.18310249307478
13336,E5BDFD,-119.17139889196676
13337,E5BEA6,-119.15969529085872
13338,E5BF4F,-119.1479916897507
13339,E5C0A1,-119.12458448753462
13340,E5C14A,-119.1128808864266
13341,E5C1F3,-119.10117728531857
13342,E5C29C,-119.08947368421053
13343,E5C3EE,-119.06606648199445
13344,E5C497,-119.05436288088643
13345,E5C540,-119.0426592797784
13346,E5C5E9,-119.03095567867035
13347,E5C692,-119.01925207756233
13348,E5C7E4,-118.99584487534626
13349,E5C88D,-118.98414127423823
13350,E5C936,-118.97243767313019
13351,E5C9DF,-118.96073407202216
13352,E5CA88,-118.94903047091414
13353,E5CBDA,-118.92562326869806
13354,E5CC83,-118.91391966759002
13355,E5CD2C,-118.902216066482
13356,E5CE7E,-118.87880886426592
13357,E5CF27,-118.8671052631579
13358,E5CFD0,-118.85540166204987
13359,E5D122,-118.8319944598338
13360,E5D1CB,-118.82029085872576
13361,E5D274,-118.80858725761773
13362,E5D31D,-118.7968836565097
13363,E5D46F,-118.77347645429363
13364,E5D518,-118.7617728531856
13365,E5D66A,-118.73836565096953
13366,E5D713,-118.72666204986149
13367,E5D7BC,-118.71495844875346
13368,E5D90E,-118.69155124653739
13369,E5D9B7,-118.67984764542936
13370,E5DB09,-118.6564404432133
13371,E5DBB2,-118.64473684210526
13372,E5DC5B,-118.63303324099722
13373,E5DDAD,-118.60962603878117
13374,E5DE56,-118.59792243767313
13375,E5DFA8,-118.57451523545706
13376,E5E051,-118.56281163434903
13377,E5E1A3,-118.53940443213295
13378,E5E2F5,-118.5159972299169
13379,E5E39E,-118.50429362880887
13380,E5E4F0,-118.48088642659279
13381,E5E599,-118.46918282548476
13382,E5E6EB,-118.44577562326869
13383,E5E83D,-118.42236842105264
13384,E5E8E6,-118.4106648199446
13385,E5EA38,-118.38725761772852
13386,E5EB8A,-118.36385041551247
13387,E5EC33,-118.35214681440445
13388,E5ED85,-118.32873961218837
13389,E5EED7,-118.30533240997231
13390,E5EF80,-118.29362880886426
13391,E5F0D2,-118.2702216066482
13392,E5F224,-118.24681440443213
13393,E5F376,-118.22340720221607
13394,E5F41F,-118.21170360110804
13395,E5F571,-118.18829639889196
13396,E5F6C3,-118.1648891966759
13397,E5F815,-118.14148199445982
13398,E5F967,-118.11807479224377
